"titulo";"url_noticia";"tag";"texto";"url_imagen";"periodista";"tiempo";"fecha_captura"
"   Historias superficiales, fórmulas gastadas y nuevos públicos: ¿es el fin de las comedias románticas? ";"/culto/2024/07/03/historias-superficiales-formulas-gastadas-y-nuevos-publicos-es-el-fin-de-las-comedias-romanticas/";"Películas ";"A pesar de las constantes críticas al género, este parece no morir y reinventarse cada década. Diversas voces del mundo del cine reflexionan en Culto las causas de la crisis de las comedias románticas, un fenómeno propio de la industria del que tampoco se salvan las cintas de superhéroes o terror. Mirar otros formatos, como las series o la literatura, son algunas alternativas para encontrar refrescantes historias de amor.";"https://www.latercera.com/resizer/LuJZE747kt55eP2fW67Niwlbc3E=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/UMQQEMXEK5FSTDN7JD2HMNAKXQ.jpg";"Constanza Moncada M.";" Hace 1 hora ";"2024-07-03"
"   Colapso del camino a Farellones desata nueva batalla entre la Municipalidad de Lo Barnechea y el MOPExclusivo suscriptor";"/la-tercera-pm/noticia/colapso-del-camino-a-farellones-desata-nueva-batalla-entre-la-municipalidad-de-lo-barnechea-y-el-mop/I4H5G3GUQNAU7C25P7Y77LE2WY/";"La Tercera PM ";"Desde el municipio liderado por Cristóbal Lira (UDI) sostienen que la ruta G-21, que da acceso al pueblo de Farellones, no cuenta con mantención ni limpieza por parte del Ministerio de Obras Públicas (MOP) lo que ha dificultado el acceso de usuarios quienes reclaman falta de fiscalización y seguridad en la zona.";"https://www.latercera.com/resizer/RiqIdsgHB7s1iG-YkWzJJdSon7o=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/LG3DTN5NC5C7ZNIYWU5VW7WKXI.jpg";"Gabriela Mondaca";" Hace 1 hora ";"2024-07-03"
"  Columna de José Miguel Ahumada: la crisis estructural del Norte GlobalExclusivo suscriptor";"/opinion/noticia/columna-de-jose-miguel-ahumada-la-crisis-estructural-del-norte-global/ERPVYFZTORAB7MKLQOJLDLHSLY/";"La TerceraPM ";NA;"https://www.latercera.com/resizer/T2GZVmow5jDudjY9NixLqie2aPA=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/7TS2D6TDOYHJDAFXU56WJRVKBI.JPG";"José Miguel Ahumada";" Hace 1 hora ";"2024-07-03"
"   Aseguran que Israel ha realizado la mayor confiscación de tierras en Cisjordania en tres décadas";"/la-tercera-pm/noticia/aseguran-que-israel-ha-realizado-la-mayor-confiscacion-de-tierras-en-cisjordania-en-tres-decadas/ZGE2PCOGMJAJ5FEULKMG4ETCGY/";"La Tercera PM ";"El ritmo de apropiaciones de tierras en el territorio palestino ocupado alcanza su punto máximo, según afirmó la ONG israelí Paz Ahora (Peace Now).";"https://www.latercera.com/resizer/hnCyZaEJxiNQSdyK3rOdINv-d8E=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/F2NDOFWPDVMYHPJ3YCQAZU6BAM.jpg";"Cristina Cifuentes";" Hace 1 hora ";"2024-07-03"
"   El caótico consejo DC en que se arremetió contra Claudio Orrego y se planteó competir en la elección de gobernadoresExclusivo suscriptor";"/la-tercera-pm/noticia/el-caotico-consejo-dc-en-que-se-arremetio-contra-claudio-orrego-y-se-planteo-competir-en-la-eleccion-de-gobernadores/S2MTT6TBUJEN7GHZPUO7IKAIGU/";"Orrego ";"Ayer por la noche el presidente de la DC dio cuenta ante el consejo nacional de la colectividad de los avances en la negociación electoral con los partidos del oficialismo. En ese contexto, varios dirigentes hicieron ver su disconformidad con el apoyo que -hasta ahora- el partido ha dado a la reelección del actual gobernador de la Región Metropolitana.";"https://www.latercera.com/resizer/gBtT8AhRDZk9HCO71HgTG0t2KA4=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/ZDMFFUAJKJFYFMQG5CYTPZCPLM.jpg";"Cristóbal Fuentes";" Hace 1 hora ";"2024-07-03"
"   La final del Mundial de 2030 ya tiene estadio definido";"/el-deportivo/noticia/la-final-del-mundial-de-2030-ya-tiene-estadio-definido/UCWTDLONKVG7VI3GP5TDT6QZPU/";"Fútbol ";"El peculiar torneo, que se disputará en tres continentes, empieza a tomar forma.";"https://www.latercera.com/resizer/B5mrx-iHkeL9amJxgaIE9Tx-nKs=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/PZEMV4Q3YVGTZOV2VUZJ4772D4.jpg";"Christian González";" Hace 1 hora ";"2024-07-03"
"   Francisco Melo (PS), el nuevo representante del Socialismo Democrático en el preciado Segundo Piso de CrispiExclusivo suscriptor";"/la-tercera-pm/noticia/francisco-melo-ps-el-nuevo-representante-del-socialismo-democratico-en-el-preciado-segundo-piso-de-crispi/R4UZLUCJ5BE7ZNHHE7TNHPPH2A/";"La Tercera PM ";"El historiador es hermano del diputado Daniel Melo e hijo de Sadi Melo, el histórico alcalde socialista de El Bosque. La presidenta del PS, Paulina Vodanovic promovió su nombre.";"https://www.latercera.com/resizer/1CzmK8ygXW2UfBtYmbXi1lHjbSQ=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/7CY576TRLRFOBPROXYKRNQVDAQ.jpeg";"David Tralma";" Hace 1 hora ";"2024-07-03"
"   Temblor hoy, miércoles 3 de julio en Chile: consulta epicentro y magnitud";"/servicios/noticia/temblor-hoy-miercoles-3-de-julio-en-chile-consulta-epicentro-y-magnitud/2DXD5JXPMJBKLB6LNOVMIW5YO4/";"Sismo ";"Revisa los recientes movimientos sísmicos registrados por el Centro Sismológico Nacional de la Universidad de Chile. Además, conoce las recomendaciones de Senapred sobre qué hacer en caso de un terremoto.";"https://www.latercera.com/resizer/Pj8WK9E4H-PeEnpt8rWgfHbgsxQ=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/GWNYOIJNRZHUPEMYOLXXN55RGM.png";"Baltasar Daza";" Hace 1 hora ";"2024-07-03"
"   Diputado Brito (FA) reformulará indicación sobre peces “sintientes” que propuso en la Ley de Pesca";"/politica/noticia/diputado-brito-fa-reformulara-indicacion-sobre-peces-sintientes-que-propuso-en-la-ley-de-pesca/BULA72U2AZCCDMRC7O6PGDIFE4/";"Ley de Pesca ";"El parlamentario señaló que el lenguaje utilizado se prestó para ""malas interpretaciones"" y que lo que busca es el bienestar animal.";"https://www.latercera.com/resizer/3vmVFiPAn0hU0ini8m6zLarhnvg=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/IBMWIO3AQVA2THNDPVYW255LHA.jpg";"Arturo León";" Hace 1 hora ";"2024-07-03"
"   Teatro UC: Obras de teatro de calidad y que tocan fibras";"/club-la-tercera/noticia/teatro-uc-obras-que-tocan-fibra/YF5NOL3QGNFKFMGW6MZEHXANZQ/";"ClubLT Tiempo Libre ";"Un panorama entretenido para esta temporada, son las obras de teatro que podrás ver en este escenario. Su cartelera incluye el drama sicológico ""Moscas sobre el mármol"", el espectáculo visual y sensorial ""Pareidolia"", y la segunda temporada de “Prima Facie”, una obra intensa protagonizada por Camila Hirane.";"https://www.latercera.com/resizer/0jSOCMUsHljZ-ytxaNLUViQEI_c=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/V7SFV734SVH4HOOLF2FZZB2N3Q.jpeg";"Paulina Soto A. y Club La Tercera";" Hace 2 horas ";"2024-07-03"
